ID	LEXIBANK_ID	SUBGROUP	CONCEPT	CONCEPT_IN_SOURCE	CHINESE_GLOSS	DOCULECT	DOCULECT_NAME	GLOTTOCODE	TOKENS	CONCEPTICON	COGID	TONE_CLASS	TONE_VALUE	RATLIFF_LANGUAGE	RATLIFF_TOKENS	RATLIFF_INDEX	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS	STRICT_COGID	LOOSE_COGID	ALIGNMENT	STRUCTURE	CROSSIDS	NETWORK_COGID	MORPHEMES	NETWORK2COGID
1	WhiteHmong-222_theant-1	Hmongic	ANT	the ant		WhiteHmong	White Hmong	hmon1333	ⁿtʃ au ²¹³	587	191	⁴	²¹³	HmongDaw	ⁿʈʂ au ⁸/²⁴	0	1 7 8	AXT	TA6	12	12.T.C 12.A.V 12.6.T	1.6 3.0 1.0	ⁿtʃau²¹³	0	7	1	1	ⁿtʃ au ²¹³	i n t	7	4	ANT	7
2	EasternLuobuohe-193_ant-1	Hmongic	ANT	ant	蚂蚁	EasternLuobuohe	Luobuohe, Eastern	luop1235	tɕ i n ³¹ + ⁿb y ³³	587	191	平.*阳平 入.*阴平	³¹ ³³	Luopohe	ⁿp j u ᴰ/⁴	1	2 7 4 8 9 1 7 8	AXLT_AXT	CIN3_PY4	3	3.C.C 3.I.V 3.N.c 3.3.T 3._._ 3.P.C 3.Y.V 3.4.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	tɕin³¹+ⁿby³³	0	3 2	2	1	tɕ - i n ³¹ + ⁿb - y ³³	i n c t + i n t	3 2	1	_ant ANT	2
3	WesternLuobuohe-193_ant-1	Hmongic	ANT	ant	蚂蚁	WesternLuobuohe	Luobuohe, Western	luop1235	tɕ i n ³¹ + ⁿb ø ⁵⁵	587	191	平.入.*阳平 上.*阴平.*上	³¹ ⁵⁵	Luopohe	ⁿp j u ᴰ/⁴	1	2 7 4 8 9 1 7 8	AXLT_AXT	CIN3_PU5	10	10.C.C 10.I.V 10.N.c 10.3.T 10._._ 10.P.C 10.U.V 10.5.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	tɕin³¹+ⁿbø⁵⁵	0	3 2	2	1	tɕ - i n ³¹ + ⁿb - ø ⁵⁵	i n c t + i n t	3 2	1	_ant ANT	2
4	SouthernGuizhouChuanqiandian-193_ant-1	Hmongic	ANT	ant	蚂蚁	SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	k u/w a ³² + ⁿp ʐ ɔ ²¹	587	191	阴平甲 阳入.*阳平	³² ²¹	CentralMashanHmong	ⁿp ʐ ɔ ⁸/²⁴	1	1 6 7 8 9 1 3 7 8	ACXT_ACXT	KWA3_PSU3	8	8.K.C 8.W.C 8.A.V 8.3.T 8._._ 8.P.C 8.S.C 8.U.V 8.3.T	1.6 1.2 3.0 1.0 0.0 1.6 1.2 3.0 1.0	ku/wa³²+ⁿpʐɔ²¹	0	4 2	3	1	k u/w a ³² + ⁿp ʐ ɔ ²¹	i m n t + i m n t	4 2	1	_ant ANT	2
5	WesternXiangxi-193_ant-1	Hmongic	ANT	ant	蚂蚁	WesternXiangxi	Xiangxi, West	west2430	t ɑ ³⁵ + ⁿpʰ a ⁴⁴	587	59	阴平 阴上.阴入.*阴平	³⁵ ⁴⁴	WesternXiangxiMiao	ⁿpʰ a ³	1	1 7 8 9 1 7 8	AXT_AXT	TA2_PA5	11	11.T.C 11.A.V 11.2.T 11._._ 11.P.C 11.A.V 11.5.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	tɑ³⁵+ⁿpʰa⁴⁴	0	7 2	4	1	t ɑ ³⁵ + ⁿpʰ - a ⁴⁴	i n t + i n t	7 2	1	_ant ANT	2
6	NorthernQiandong-193_ant-1	Hmongic	ANT	ant	蚂蚁	NorthernQiandong	Qiandong, North	nort2747	k a ŋ ³³ + z o ¹³	587	59	阴平.*阴平 阴入.*去	³³ ¹³	NorthernQiandongMiao	pʰ e n ³	0	1 7 4 8 9 3 7 8	AXLT_AXT	KAN4_SU2	7	7.K.C 7.A.V 7.N.c 7.4.T 7._._ 7.S.C 7.U.V 7.2.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	kaŋ³³+zo¹³	0	3 1	5	1	k - a ŋ ³³ + z - o ¹³	i n c t + i n t	3 1	2	_ant ANT	3
7	WesternBaheng-193_ant-1	Hmongic	ANT	ant	蚂蚁	WesternBaheng	Baheng, West	pahn1237	q a ⁰/³ + ȵ̥ ei ³¹	587	59	轻声 阴上	⁰³ ³¹	PaHng	m̥ j e ³	1	1 7 8 9 4 7 8	AXT_AXT	KA6_NE3	9	9.K.C 9.A.V 9.6.T 9._._ 9.N.C 9.E.V 9.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	qa⁰/³+ȵ̥ei³¹	0	5 6	6	2	q a ⁰/³ + ȵ̥ ei ³¹	i n t + i n t	5 6	6	ANT _ant	6
8	EasternBaheng-193_ant-1	Hmongic	ANT	ant	蚂蚁	EasternBaheng	Baheng, East	pahn1237	ⁿpʰ j e ³¹³	587	59	阴上.*阴上	³¹³	PaHng	m̥ j e ³	0	1 6 7 8	ACXT	PJE6	2	2.P.C 2.J.C 2.E.V 2.6.T	1.6 1.2 3.0 1.0	ⁿpʰje³¹³	0	2	7	1	ⁿpʰ j e ³¹³	i m n t	2	1	ANT	2
9	Jiongnai-193_ant-1	Hmongic	ANT	ant	蚂蚁	Jiongnai	Jiongnai	jion1236	ⁿpʰ ai ⁵³	587	59	阴上.*上	⁵³	JiongnaiBunu	ⁿpʰ ai ³	0	1 7 8	AXT	PA3	4	4.P.C 4.A.V 4.3.T	1.6 3.0 1.0	ⁿpʰai⁵³	0	2	7	1	ⁿpʰ - ai ⁵³	i n t	2	1	ANT	2
10	Mien-193_ant-1	Mienic	ANT	ant	蚂蚁	Mien	Mien	iumi1238	dz j əu ⁵³	587	610	阴上	⁵³	luMien	ɕ eu ³	0	2 6 7 8	ACXT	CJE3	6	6.C.C 6.J.C 6.E.V 6.3.T	1.6 1.2 3.0 1.0	dzjəu⁵³	0	1	8	1	dz j əu ⁵³	i m n t	1	2	ANT	1
11	KimMun-193_ant-1	Mienic	ANT	ant	蚂蚁	KimMun	Kim Mun	kimm1245	ʃ eu ⁵¹	587	610	上声.清.气.*上	⁵¹	KimMun	s ɔu ³	0	3 7 8	AXT	SE3	5	5.S.C 5.E.V 5.3.T	1.6 3.0 1.0	ʃeu⁵¹	0	1	8	1	ʃ - eu ⁵¹	i n t	1	2	ANT	1
12	BiaoMin-193_ant-1	Mienic	ANT	ant	蚂蚁	BiaoMin	Biao Min	biao1254	s au ³⁵	587	610	阴上	³⁵	BiaoMon	s au ³	0	3 7 8	AXT	SA2	1	1.S.C 1.A.V 1.2.T	1.6 3.0 1.0	sau³⁵	0	1	8	1	s - au ³⁵	i n t	1	2	ANT	1
13	ZaoMin-193_ant-1	Mienic	ANT	ant	蚂蚁	ZaoMin	Zao Min	dzao1238	ʑ u ²⁴	587	610	阴上.*阳平	²⁴	DzaoMin	dz i/j u ³	0	3 7 8	AXT	SY2	13	13.S.C 13.Y.V 13.2.T	1.6 3.0 1.0	ʑu²⁴	0	1	8	1	ʑ - u ²⁴	i n t	1	2	ANT	1
14	WhiteHmong-63_theash-1	Hmongic	ASH	the ash		WhiteHmong	White Hmong	hmon1333	tʃʰ au ³⁴	646	537	³	³⁴	HmongDaw	ʈʂʰ au ³	0	1 7 8	AXT	TA2	12	12.T.C 12.A.V 12.2.T	1.6 3.0 1.0	tʃʰau³⁴	0	21	9	3	tʃʰ au ³⁴	i n t	5907	8	ASH	21
15	EasternLuobuohe-15_ash-1	Hmongic	ASH	ash	灰	EasternLuobuohe	Luobuohe, Eastern	luop1235	ʔ a ⁰/² + tsʰ y ⁵⁵	646	537	轻声 上.*上	⁰² ⁵⁵	Luopohe	tsʰ u ᴮ/²	1	1 7 8 9 2 7 8	AXT_AXT	HA6_CY5	3	3.H.C 3.A.V 3.6.T 3._._ 3.C.C 3.Y.V 3.5.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	ʔa⁰/²+tsʰy⁵⁵	0	22 23	10	3	ʔ - a ⁰/² + tsʰ y ⁵⁵	i n t + i n t	22 23	9	_ash ASH	23
